id	neighborhood	name	site	description
TC1	North Side	Tick Town	1	"Imagine yourself, bored, thirsty, and curious about Ticks…  then head on down to TickTown, one of the longest running theme camps at LOF.   Come “Spin the Wheel” and receive a delicious crafted cocktail at the infamous  Snickerin’ Tick Tavern. We have unique games to play, and a fabulous DJ to dance  the night away or just relax in the Garden of Wonderful Ramen.   TickTown loves you!"
TC2	North Side	Inferni'peligo	2	Inferni'peligo is the last fire for .3 miles!!! As a beacon of warmth and light, we will warm your digits as you wander into or out of the quiet zone, and delight your eyes with twinkles of all sorts of flames.
TC3	North Side	Nevis' Niceties	2A	Nevis' Niceties is riding this wave for it's second year to take you on a journey for your senses. There will be original artwork to see to stimulate your thoughts. Along with draining water, your ears may be reminded of the art of conversation with ice breakers, tastebuds delighted with both nibbles and drinks (including an all day bloody mary hour) Float away feeling restored with a sense of calm from aroma therapy. Last but not least, in addition to shampoo/conditioning scalp massage for non-threatening touch, we're bubbling with excitement to feature chair merssage by Mary the Mermaid.
TC4	North Side	Funky Tiki and Orenda	4 - 6	Funky Tiki and Orenda. , Mega Dome, Big Tikis, Fire, Dancing, Bar. Paradise. 
TC5	North Side	Frozen Kraken Creamery	7	Frozen Kraken Creamery is here to fill your mouths with our delicious cream! Frozen Kraken Creamery is a bastion of gifting and a break from the heat at the lake. Catch us making the circle with our cart, stop by for one of our sundae making events, or kick back in our expanded ice cream parlor! Now with more dolphin bits!
TC6	North Side	Camp Recharge	8	Our camp requires a power source and potable water to offer services to the community. Historically, we have been placed at site 8 which is a perfect location for us. We share the power with those who request access to power art installations on the beach. If available, we would love to have that same space because people know to look for us there.
TC7	North Side	Sideways Potato People	9	Taters
TC8	North Side	Tequila TV	10	Come join us for a little Lakes of Fire history and a whole lotta fun! Tequila TV in full effect at LOF 24. We are LOF and BM vets and volunteers and we are here to make your burn amazing in every way.  Our haven is right on the main road and is built for shade, serenity and surprises. We will have surprise Pizza from your favorite Pie-slingers at Lucky Lake and a groovy lounge to relax and enjoy a beverage and a slice! Welcome to the Northside Food Court; our neighborhood loves to feed people. Stop by and ask us about our daily offerings and activities!
TC9	North Side	Pizza My Heart	11	Sick of granola bars and ramen? Stop by Pizza My Heart for a slice.  Feeling like you're missing out other burns? Stop by Pizza my Heart and see if the Portal to TTATC is open.  Want to hit something? Try Davey Jones' Bang Bang located at... you guessed it! Pizza My Heart! Keep your eye open for golden pizza tokens hidden around the lake! They can be redeemed for totally sweet prizes! (and by prizes we mean pizza!)
TC11	Downtown	Dewey Decibels	16 - 18, 133, 136	Dewey Decibels is an analogous mixture composed of creative energy, technical know-how, auditory expertise, and artistic excess. A sound camp dedicated to providing only the finest in beats, art, dancing, and friends.  
TC12	Downtown	Illumination	19	ILLUMINATION - LIGHTING UP THE DARKNESS WITH VIDEOS AND LED LIGHTS
TC13	Downtown	Lamp Camp	20 - 23	Lamp Camp will brighten up your day, and be a beacon in the night! Come heal, play and use your Imaginarium with us!
TC14	Downtown	First Fires	24 - 27	First Fires is like 3 camps in a trenchcoat, but if that trenchcoat was made of fishnets, mesh, and safety vests, and if from within that trenchcoat came incessant whispers of loving ridicule and affirmations until you decided to properly believe in yourself.   In This Camp we do schticks. We lounge hard. We make art(?!). We put our talents on display long before they're fully formed. We invite you to do the same.   Now with even more Doom in the Room, it's First Fires: we're always like this.
TC15	Downtown	Basement Fiasco	28	Basement Fiasco (formerly Experimental Family Tree) will feed you delicious vegan dinners every night. During the day, stop by for Deez Nuts, our DIY trail mix bar. We'll have a fire going some nights. Relax with us in our chill tent and find out what shenanigans we have going on in the basement.
TC16	Downtown	Treebassin'	29 - 30	Welcome to TreeBassin's Above Water Inflatable Imaginarium Aquarium! Come to the newest beach on Lucky Lake and get groovy on our water front dance floor.  Lounge in a vast array of inflatable luxury and cool off with one of our signature slushies! 
TC17	Downtown	Atomic Chocolate	116 - 117	Hot chocolate, coffee and snaaacks! Come visit yourselves in the Mirror Box, endanger your fellow campers at the Playkea DIY Sculpture, enjoy fire and shenanigans in our fire circle where our band of ridiculous performers are sure to entertain. We are the perfect place to rest, relax and restore, the scoop up a hot coco and a krispie treat before heading back out to enjoy all that Lakes of Fire has to offer.
TC18	Downtown	Boogie Woogie Cabaret	118	Home of the finest live musical performances on the lake! We also offer comedians, figure drawing, and table-top gaming daily. Connect with your creativity and your community!
TC19	Downtown	Cirque du Soul	119	Step into the world of Cirque du Soul at Lakes of Fire 2024: Imaginarium Aquarium!  By day, immerse yourself in soulful workshops led by Lakes of Fire community facilitators. As night falls, join us for two sensational parties featuring electrifying DJs and captivating sounds. Our fabulously decorated tent boasts luscious fabrics, elegant furniture, and a cozy pillow lounge for relaxation. Experience our inviting vibe between programming—a blend of fun, sensuality, and community. Cirque du Soul is more than a camp; it's a spirited collective embodying sensuality, spirituality, and funky energy. Join us to connect, play, dance, and explore at Lakes of Fire!
TC20	Downtown	T.H.C. - That Half-Assed Camp	120	Come join us at the ultimate stoner chill camp. Comfy chairs, a few games, chill music, and a constant stream of blunts and dabs when you come hang with us! Plus we'll offer a few community meals throughout the weekend!
TC21	Downtown	Recess	122 - 124	If you seek the place for afternoon fun, Recess is your destination.  We start with the oversized yard games which are open from dawn til midnight.  From noon til dusk we provide an uptempo bar and dance area.  New for this year are a series of yet undisclosed interactive art pieces that will appear and disappear randomly throughout the week.  And, back by popular demand, our 3rd year of Dildo Races on Friday and Saturday afternoons! 
TC22	Downtown	Sanctuary of Love	125	The BrilliantlyMad Collective will be returning to Lakes of Fire to celebrate its 26th Anniversary by bridging Heaven on Earth with our Sanctuary of Love (S.O.L.). We will be offering workshops, healing modalities, sacred sounds, art projects, & transformative experiences. We invite you to explore unifying the polarities of Brilliance & Madness into balance & reflect that into the World. Our S.O.L. container provides a healing, chill & creative temple space for you to rise into your authentic power. We encourage a responsible atmosphere of high vibrations to reTreat into your body, mind, & soul. 
TC23	Downtown	No Drama Pancake House	126	No Drama Pancake House is the best pancake spot at Lakes of Fire. Come join us every morning to  indulge in our delectable pancakes to get the morning started off right.
