id	radio_day	radio_time	radio_dj_name	radio_description
SGC1	Wednesday	2024-07-17 12:00 PM	Radio Chaos!	Kicking off RadioSGC with Radio Chaos, where no sounds are out of bounds! All styles and genre of music will be represented in order to welcome campers to the lake.
SGC2	Wednesday	2024-07-17 4:00 PM	The Doctor is In (Concert)! w/ Dr. Kramer	Songs recorded before a live audience. Just the prescription you need to get your burn started.
SGC3	Wednesday	2024-07-17 5:00 PM	Siren Songs from Sand & Sea with DJ Snax	Songs of longing, loving and losing, songs of...hunger?? 
SGC4	Wednesday	2024-07-17 6:00 PM	Very K's Body BS with B, B, & B	The artists of Bubbles, Bodies, & Barriers want to know what bullshit your body's been up to. Call ins, call outs, and tunes on the theme of existing in these poorly designed meat suits. 
SGC5	Wednesday	2024-07-17 7:00 PM	Bittersweet Bliss with DJ Fluffy Buns	Playing music from my carefully curated Bittersweet playlist. Talking and interacting with participants about the bittersweetness of default world life and burning man culture. 
SGC6	Wednesday	2024-07-17 8:00 PM	The Queens Gambit	An eclectic collection of songs to make you laugh, cry, dance and sing.  Buckle up, it's gonna be a wild ride!
SGC7	Wednesday	2024-07-17 9:00 PM	Siren's Hour of Succulent Song & Tete-e-tetes	Permaculture & plant content/conversations featuring some TBA plant sluts & green fairies. Some ASMR content for a couple chill & calming moments with curated song selections to complement.
SGC8	Wednesday	2024-07-17 10:00 PM	Whirlwind's Rage & Redemption	Feel the heat of a raging Whirlwind, then cool down with the sweet sounds of redemption.
SGC9	Wednesday	2024-07-17 11:00 PM	Character Actress Margo Martindale's Mmmmbop-it 	A solid set of songs that make you go, "oh yeah I remember this!". NOT full of top 40/singles, but Top 41-80 and B sides... plus just some rarely heard dope songs. 
SGC10	Wednesday	2024-07-18 12:00 AM	Liquid Lounge w/ Spectre	Get wet with a chill drum and bass session.
SGC11	Wednesday	2024-07-18 2:00 AM	Captain Zesty's Inside The Phishbowl	No matter if you are preparing for departure or descending towards re-entry, Captain Zesty is at the helm to guide your late night swim.
SGC12	Thursday	2024-07-18 6:00 AM	Early Morning Ocean w/Jam	One hour of more ambient, calm ocean music & one hour of gentle songs about water.
